id,label
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,1
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,0
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,1
614,0
615,1
616,0
617,1
618,1
619,0
620,1
621,1
622,0
623,0
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,1
676,0
677,0
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,0
717,1
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,1
734,1
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,1
